epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
78,1340.69,0.66812,0.79669,0.01095,0.73695,0.67061,0.69923,0.49845,0.98857,1.23327,0.02292,0.0002377,0.0002377,0.0002377
79,1357.63,0.65455,0.79095,0.01107,0.79222,0.60225,0.70126,0.49844,1.00016,1.20997,0.02347,0.0002278,0.0002278,0.0002278
80,1374.48,0.64553,0.77269,0.01098,0.77465,0.62621,0.69891,0.4963,0.99669,1.22504,0.02349,0.0002179,0.0002179,0.0002179
81,1391.36,0.67402,0.77173,0.011,0.77131,0.66271,0.71643,0.50543,1.00729,1.22589,0.02357,0.000208,0.000208,0.000208
82,1408.36,0.65298,0.75463,0.01071,0.79447,0.64719,0.71858,0.50317,0.99468,1.25495,0.02312,0.0001981,0.0001981,0.0001981
83,1425.17,0.64943,0.77492,0.01099,0.79991,0.65448,0.72156,0.51082,0.99827,1.2075,0.02326,0.0001882,0.0001882,0.0001882
84,1441.69,0.64049,0.76189,0.01047,0.74739,0.62834,0.70129,0.49211,0.99488,1.22239,0.02316,0.0001783,0.0001783,0.0001783
85,1458.03,0.65076,0.74385,0.0107,0.78071,0.61851,0.70086,0.49677,1.00912,1.23403,0.02366,0.0001684,0.0001684,0.0001684
86,1475.33,0.64662,0.76925,0.01071,0.78438,0.6548,0.719,0.50572,0.99875,1.22198,0.02321,0.0001585,0.0001585,0.0001585
87,1492.33,0.63913,0.75611,0.01043,0.77943,0.64786,0.70233,0.50426,0.99656,1.20954,0.02344,0.0001486,0.0001486,0.0001486
88,1509.24,0.63007,0.74445,0.01053,0.78408,0.6531,0.72163,0.51946,0.99491,1.20036,0.02339,0.0001387,0.0001387,0.0001387
89,1526.11,0.62235,0.74191,0.01047,0.78122,0.66223,0.72658,0.51507,0.99965,1.2109,0.02342,0.0001288,0.0001288,0.0001288
90,1543.09,0.6274,0.72445,0.01035,0.80282,0.66686,0.73792,0.52894,1.00156,1.20373,0.02343,0.0001189,0.0001189,0.0001189
91,1570.7,0.71784,0.678,0.01587,0.7909,0.63942,0.71472,0.50516,1.03211,1.18428,0.02432,0.000109,0.000109,0.000109
92,1587.7,0.69336,0.60522,0.01496,0.76406,0.67253,0.72738,0.51209,1.01793,1.19644,0.024,9.91e-05,9.91e-05,9.91e-05
93,1604.15,0.66971,0.58127,0.01433,0.77892,0.66772,0.72284,0.51088,1.02395,1.19642,0.02425,8.92e-05,8.92e-05,8.92e-05
94,1620,0.65295,0.57051,0.01378,0.75255,0.67967,0.72371,0.5105,1.01318,1.20456,0.0238,7.93e-05,7.93e-05,7.93e-05
95,1636.56,0.67484,0.57828,0.01393,0.76532,0.67521,0.72673,0.51302,1.00411,1.19366,0.02352,6.94e-05,6.94e-05,6.94e-05
96,1653.75,0.65002,0.57789,0.01355,0.7838,0.68731,0.73334,0.51522,1.00695,1.20742,0.02358,5.95e-05,5.95e-05,5.95e-05
97,1670.4,0.64837,0.54595,0.01354,0.78074,0.69185,0.73385,0.51879,1.00738,1.19491,0.02352,4.96e-05,4.96e-05,4.96e-05
98,1686.57,0.64368,0.56261,0.0136,0.8122,0.66204,0.7266,0.5122,1.00215,1.18502,0.02344,3.97e-05,3.97e-05,3.97e-05
99,1702.87,0.63951,0.53588,0.01332,0.80401,0.669,0.72325,0.50941,0.99713,1.19429,0.02323,2.98e-05,2.98e-05,2.98e-05
100,1719.19,0.64009,0.55811,0.01336,0.78951,0.67166,0.72138,0.50758,0.99871,1.1944,0.02333,1.99e-05,1.99e-05,1.99e-05
