epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
68,1190.47,0.77473,0.96732,0.0138,0.76435,0.59889,0.6799,0.46771,1.06068,1.30654,0.0261,0.00066835,0.00066835,0.00066835
69,1208.26,0.77635,0.96972,0.01346,0.70491,0.67151,0.68392,0.4689,1.05768,1.24012,0.02572,0.0006634,0.0006634,0.0006634
70,1225.11,0.74941,0.92765,0.013,0.69029,0.61339,0.65513,0.44954,1.06297,1.24919,0.02616,0.00065845,0.00065845,0.00065845
71,1241.84,0.74766,0.90318,0.01306,0.69331,0.68063,0.69367,0.4695,1.08652,1.27004,0.02706,0.0006535,0.0006535,0.0006535
72,1258.57,0.74942,0.93334,0.01292,0.71241,0.59595,0.665,0.45355,1.11355,1.26751,0.02819,0.00064855,0.00064855,0.00064855
73,1275.87,0.74575,0.93818,0.01276,0.77325,0.60853,0.70627,0.49814,1.07075,1.27312,0.02617,0.0006436,0.0006436,0.0006436
74,1292.8,0.73634,0.9107,0.01266,0.77334,0.60373,0.68729,0.47754,1.05699,1.22535,0.02604,0.00063865,0.00063865,0.00063865
75,1310.29,0.75854,0.94382,0.01289,0.7481,0.64881,0.6978,0.48344,1.07308,1.20319,0.02624,0.0006337,0.0006337,0.0006337
76,1327.98,0.74833,0.91637,0.01294,0.68542,0.67776,0.69405,0.47282,1.0528,1.22653,0.02598,0.00062875,0.00062875,0.00062875
77,1345.19,0.73905,0.87005,0.01299,0.78288,0.64598,0.70891,0.48123,1.09319,1.21612,0.02725,0.0006238,0.0006238,0.0006238
78,1362.29,0.74938,0.88576,0.01285,0.79206,0.65549,0.7045,0.48619,1.06224,1.22642,0.02584,0.00061885,0.00061885,0.00061885
79,1380.32,0.72362,0.8866,0.01243,0.76017,0.64828,0.71799,0.49391,1.03901,1.21071,0.02491,0.0006139,0.0006139,0.0006139
80,1397.81,0.71916,0.87152,0.01252,0.71116,0.64394,0.67326,0.4769,1.05766,1.2407,0.02561,0.00060895,0.00060895,0.00060895
81,1415.05,0.74284,0.88466,0.01252,0.70994,0.64728,0.69405,0.47894,1.06013,1.23792,0.02581,0.000604,0.000604,0.000604
82,1432.45,0.72294,0.86264,0.01219,0.73118,0.68433,0.69555,0.48663,1.06226,1.25815,0.02592,0.00059905,0.00059905,0.00059905
83,1450.03,0.73054,0.88943,0.01257,0.78816,0.6664,0.71301,0.50113,1.04873,1.21142,0.02532,0.0005941,0.0005941,0.0005941
84,1467.05,0.72745,0.88334,0.01228,0.76694,0.64559,0.70422,0.49513,1.05269,1.23499,0.02569,0.00058915,0.00058915,0.00058915
85,1484.64,0.72663,0.86051,0.01236,0.74553,0.69168,0.72593,0.50685,1.05463,1.19078,0.02577,0.0005842,0.0005842,0.0005842
86,1501.85,0.73604,0.8516,0.01261,0.75351,0.68403,0.72074,0.4973,1.04732,1.18309,0.02544,0.00057925,0.00057925,0.00057925
87,1518.77,0.72467,0.85931,0.01226,0.60225,0.7023,0.67153,0.44992,1.09497,1.22166,0.02745,0.0005743,0.0005743,0.0005743
88,1536.07,0.70715,0.85034,0.01225,0.77701,0.63717,0.70514,0.48832,1.04781,1.19902,0.02546,0.00056935,0.00056935,0.00056935
89,1553.41,0.70277,0.83438,0.01219,0.66334,0.69997,0.70289,0.48288,1.04222,1.23928,0.02506,0.0005644,0.0005644,0.0005644
90,1571.17,0.70709,0.82466,0.01213,0.754,0.69303,0.7187,0.48934,1.07321,1.21648,0.02634,0.00055945,0.00055945,0.00055945
91,1588.35,0.71336,0.81523,0.01219,0.73347,0.66888,0.7067,0.4794,1.05313,1.26319,0.02578,0.0005545,0.0005545,0.0005545
92,1605.85,0.71068,0.81802,0.01211,0.73583,0.66324,0.70666,0.48681,1.06297,1.22983,0.02597,0.00054955,0.00054955,0.00054955
93,1623.9,0.70957,0.84657,0.01212,0.7256,0.66814,0.70251,0.47266,1.08039,1.23186,0.02708,0.0005446,0.0005446,0.0005446
94,1641.52,0.7021,0.82069,0.01203,0.69557,0.70835,0.68997,0.47547,1.05534,1.24396,0.02563,0.00053965,0.00053965,0.00053965
95,1659.19,0.69638,0.8249,0.01165,0.74514,0.67227,0.7018,0.48468,1.02878,1.23273,0.02491,0.0005347,0.0005347,0.0005347
96,1676.56,0.68276,0.81355,0.01146,0.72236,0.68636,0.71429,0.49334,1.06026,1.22971,0.02567,0.00052975,0.00052975,0.00052975
97,1693.91,0.70161,0.82673,0.01175,0.79323,0.65009,0.71395,0.49725,1.0545,1.21142,0.02541,0.0005248,0.0005248,0.0005248
98,1711.11,0.6982,0.81419,0.01206,0.77612,0.65073,0.72627,0.49091,1.06941,1.22606,0.02608,0.00051985,0.00051985,0.00051985
99,1729.04,0.69396,0.8128,0.01167,0.66875,0.68229,0.69664,0.47249,1.04868,1.2087,0.02527,0.0005149,0.0005149,0.0005149
100,1746.57,0.67925,0.78372,0.01161,0.74632,0.61973,0.6892,0.47964,1.04667,1.24182,0.02584,0.00050995,0.00050995,0.00050995
101,1763.75,0.6758,0.79821,0.01149,0.75192,0.64941,0.72003,0.49959,1.05359,1.16787,0.02566,0.000505,0.000505,0.000505
102,1782.36,0.68471,0.78418,0.01169,0.81292,0.67164,0.73438,0.52184,1.03142,1.19504,0.02475,0.00050005,0.00050005,0.00050005
103,1800.03,0.69082,0.78554,0.01168,0.70291,0.71082,0.69507,0.48637,1.03744,1.18908,0.02514,0.0004951,0.0004951,0.0004951
104,1817.13,0.69412,0.78064,0.01172,0.75499,0.69077,0.72549,0.50415,1.04533,1.21332,0.02534,0.00049015,0.00049015,0.00049015
